timestep,phase,slot_idx,output_idx,feature_idx,input_spikes,leak_term,input_sum,recurrent_sum,membrane_out,spike_out,feature_value,weight,product,accumulator,position_estimate,velocity_estimate
3,readout,,1,4,"1,0,0,0",,,,,,0.330078125,-0.000244140625,0.0,-0.068359375,0.408203125,0.121826171875
3,readout,,1,5,"1,0,0,0",,,,,,0.379150390625,0.17724609375,0.067138671875,-0.001220703125,0.408203125,0.121826171875
3,readout,,1,6,"1,0,0,0",,,,,,-0.576416015625,-0.113525390625,0.0654296875,0.064208984375,0.408203125,0.121826171875
3,readout,,1,7,"1,0,0,0",,,,,,-0.645263671875,-0.090576171875,0.058349609375,0.12255859375,0.408203125,0.121826171875
3,readout,,1,8,"1,0,0,0",,,,,,0.223388671875,0.736328125,0.16455078125,0.287109375,0.408203125,0.121826171875
3,readout,,1,9,"1,0,0,0",,,,,,0.016845703125,0.166015625,0.002685546875,0.289794921875,0.408203125,0.121826171875
3,readout,,1,10,"1,0,0,0",,,,,,1.0,-0.16796875,-0.16796875,0.121826171875,0.408203125,0.121826171875
4,neuron,0,,,"0,0,0,0",-0.54638671875,0.0,0.0,-0.54638671875,0,,,,,,
4,neuron,1,,,"0,0,0,0",-0.241943359375,0.0,0.0,-0.241943359375,0,,,,,,
4,neuron,2,,,"0,0,0,0",-1.44775390625,0.0,0.0,-1.44775390625,0,,,,,,
4,neuron,3,,,"0,0,0,0",-0.619384765625,0.0,0.0,-0.619384765625,0,,,,,,
4,neuron,4,,,"0,0,0,0",0.288818359375,0.0,0.0,0.288818359375,0,,,,,,
4,neuron,5,,,"0,0,0,0",0.331787109375,0.0,0.0,0.331787109375,0,,,,,,
4,neuron,6,,,"0,0,0,0",-0.50439453125,0.0,0.0,-0.50439453125,0,,,,,,
4,neuron,7,,,"0,0,0,0",-0.564697265625,0.0,0.0,-0.564697265625,0,,,,,,
4,readout,,0,0,"0,0,0,0",,,,,,-0.54638671875,-0.245849609375,0.13427734375,0.13427734375,0.407470703125,0.074951171875
4,readout,,0,1,"0,0,0,0",,,,,,-0.241943359375,0.25048828125,-0.060546875,0.07373046875,0.407470703125,0.074951171875
4,readout,,0,2,"0,0,0,0",,,,,,-1.44775390625,-0.015380859375,0.022216796875,0.095947265625,0.407470703125,0.074951171875
4,readout,,0,3,"0,0,0,0",,,,,,-0.619384765625,-0.057373046875,0.03564453125,0.131591796875,0.407470703125,0.074951171875
4,readout,,0,4,"0,0,0,0",,,,,,0.288818359375,0.0048828125,0.00146484375,0.133056640625,0.407470703125,0.074951171875
4,readout,,0,5,"0,0,0,0",,,,,,0.331787109375,0.10595703125,0.03515625,0.168212890625,0.407470703125,0.074951171875
4,readout,,0,6,"0,0,0,0",,,,,,-0.50439453125,-0.00244140625,0.001220703125,0.16943359375,0.407470703125,0.074951171875
4,readout,,0,7,"0,0,0,0",,,,,,-0.564697265625,0.31591796875,-0.178466796875,-0.009033203125,0.407470703125,0.074951171875
4,readout,,0,8,"0,0,0,0",,,,,,0.1875,1.9990234375,0.374755859375,0.36572265625,0.407470703125,0.074951171875
4,readout,,0,9,"0,0,0,0",,,,,,-0.01806640625,-1.9990234375,0.0361328125,0.40185546875,0.407470703125,0.074951171875
4,readout,,0,10,"0,0,0,0",,,,,,1.0,0.005615234375,0.005615234375,0.407470703125,0.407470703125,0.074951171875
4,readout,,1,0,"0,0,0,0",,,,,,-0.54638671875,0.021240234375,-0.01171875,-0.01171875,0.407470703125,0.074951171875
4,readout,,1,1,"0,0,0,0",,,,,,-0.241943359375,-0.540771484375,0.130859375,0.119140625,0.407470703125,0.074951171875
4,readout,,1,2,"0,0,0,0",,,,,,-1.44775390625,0.103271484375,-0.1494140625,-0.0302734375,0.407470703125,0.074951171875
4,readout,,1,3,"0,0,0,0",,,,,,-0.619384765625,0.0478515625,-0.029541015625,-0.059814453125,0.407470703125,0.074951171875
4,readout,,1,4,"0,0,0,0",,,,,,0.288818359375,-0.000244140625,0.0,-0.059814453125,0.407470703125,0.074951171875
4,readout,,1,5,"0,0,0,0",,,,,,0.331787109375,0.17724609375,0.058837890625,-0.0009765625,0.407470703125,0.074951171875
