t,measurement,delta,true_position,true_velocity,snn_position,snn_velocity,kalman_position,kalman_velocity,qkalman_position,qkalman_velocity,hwsnn_position,hwsnn_velocity,input_spike_0,input_spike_1,input_spike_2,input_spike_3,reservoir_spike_0,reservoir_spike_1,reservoir_spike_2,reservoir_spike_3,reservoir_spike_4,reservoir_spike_5,reservoir_spike_6,reservoir_spike_7,membrane_0,membrane_1,membrane_2,membrane_3,membrane_4,membrane_5,membrane_6,membrane_7
28,0.6681652203182606,0.04028679732276763,0.6242946681680108,0.20907958070982427,0.29150390625,0.001708984375,0.6025346143780864,0.15090642488194136,0.597412109375,0.162841796875,0.29150390625,0.001708984375,1,0,0,0,0,0,0,0,0,1,0,0,-1.722900390625,0.3369140625,-3.9990234375,-0.794921875,0.890625,0.298583984375,-2.936767578125,-2.819580078125
29,0.5081005963727714,-0.16006462394548926,0.6284190128537255,0.2062172342857319,0.284912109375,0.05224609375,0.593190112123067,0.11907690784183728,0.591064453125,0.127685546875,0.284912109375,0.05224609375,1,0,0,0,0,0,0,0,1,0,0,0,-1.718994140625,0.337890625,-3.9990234375,-0.7861328125,0.0732421875,0.832763671875,-2.99658203125,-2.85009765625
30,0.7054706194624548,0.19737002308968343,0.6324861106109583,0.20335488786163955,0.2451171875,0.003662109375,0.6091016679517426,0.15284483894112924,0.605224609375,0.170166015625,0.2451171875,0.003662109375,1,0,0,0,0,0,0,0,0,1,0,0,-1.715576171875,0.390625,-3.9990234375,-0.778564453125,0.216796875,0.2734375,-3.049072265625,-2.876953125
31,0.6783033024474286,-0.02716731701502617,0.6364959614397092,0.2004925414375472,0.361572265625,0.09423828125,0.6200690331174524,0.17200676223665645,0.615966796875,0.196533203125,0.361572265625,0.09423828125,1,0,0,0,0,0,0,0,0,0,0,0,-1.712646484375,0.384765625,-3.9990234375,-0.771728515625,0.483642578125,0.810791015625,-3.094970703125,-2.900390625
32,0.6292114767905517,-0.049091825656876975,0.6404485653399783,0.19763019501345483,0.266845703125,-0.005615234375,0.6241722369170831,0.17356756106155566,0.620849609375,0.199951171875,0.266845703125,-0.005615234375,1,0,0,0,0,0,0,0,0,1,0,0,-1.7099609375,0.379638671875,-3.9990234375,-0.765869140625,0.575927734375,0.281005859375,-3.135009765625,-2.9208984375
33,0.8174415614313809,0.18823008464082924,0.6443439223117655,0.19476784858936247,0.372802734375,0.160888671875,0.6491210040573162,0.22275137357486646,0.644775390625,0.27294921875,0.372802734375,0.160888671875,1,0,0,0,0,0,0,0,0,0,0,0,-1.70751953125,0.375244140625,-3.9990234375,-0.7607421875,0.7978515625,0.8173828125,-3.170166015625,-2.938720703125
34,0.7022648341521198,-0.11517672727926109,0.6481820323550709,0.1919055021652701,0.339599609375,0.0302734375,0.6589422549377218,0.23471993601412564,0.655517578125,0.292724609375,0.339599609375,0.0302734375,1,0,0,0,0,0,0,0,0,1,0,0,-1.70556640625,0.371337890625,-3.9990234375,-0.756103515625,0.85107421875,0.286865234375,-3.200927734375,-2.954345703125
35,0.618368293160311,-0.08389654099180888,0.6519628954698944,0.18904315574117775,0.306884765625,0.1083984375,0.6587732995263376,0.22414429314371212,0.656982421875,0.2763671875,0.306884765625,0.1083984375,1,0,0,0,0,0,0,0,1,0,0,0,-1.703857421875,0.367919921875,-3.9990234375,-0.752197265625,0.03857421875,0.822509765625,-3.227783203125,-2.968017578125
36,0.7503064995444464,0.13193820638413545,0.6556865116562361,0.1861808093170854,0.27587890625,0.03271484375,0.672379489662781,0.24350717422414545,0.671630859375,0.3095703125,0.27587890625,0.03271484375,1,0,0,0,0,0,0,0,0,1,0,0,-1.702392578125,0.4169921875,-3.9990234375,-0.748779296875,0.1865234375,0.264404296875,-3.251220703125,-2.97998046875
37,0.8309378574777443,0.0806313579332979,0.659352880914096,0.18331846289299303,0.41259765625,0.158447265625,0.6929746199358783,0.2761126424784705,0.693603515625,0.3623046875,0.41259765625,0.158447265625,1,0,0,0,0,0,0,0,0,0,0,0,-1.700927734375,0.40771484375,-3.9990234375,-0.745849609375,0.45703125,0.802978515625,-3.271728515625,-2.990478515625
38,0.6242381113484183,-0.20669974612932596,0.6629620032434741,0.18045611646890067,0.372314453125,-0.103759765625,0.6910738396987769,0.261060907338015,0.69287109375,0.338623046875,0.372314453125,-0.103759765625,1,0,0,1,0,0,0,0,0,1,0,0,-2.212890625,0.40869140625,-3.9990234375,-1.0751953125,0.4287109375,0.021728515625,-2.910400390625,-3.15283203125
39,0.5804443524753399,-0.04379375887307846,0.6665138786443703,0.1775937700448083,0.316650390625,0.003662109375,0.6849730803106742,0.23858881698996362,0.687255859375,0.3056640625,0.316650390625,0.003662109375,1,0,0,0,0,0,0,0,0,0,0,0,-2.147705078125,0.400634765625,-3.9990234375,-1.031494140625,0.6689453125,0.590576171875,-2.9736328125,-3.141845703125
40,0.7211937296480669,0.14074937717272706,0.6700085071167846,0.17473142362071595,0.2880859375,-0.02587890625,0.6927517297597098,0.24443607781091745,0.6962890625,0.3125,0.2880859375,-0.02587890625,1,0,0,0,0,0,0,0,0,1,0,0,-2.090576171875,0.3935546875,-3.9990234375,-0.9931640625,0.73828125,0.08837890625,-3.029052734375,-3.132080078125
41,0.5234461362783879,-0.19774759336967906,0.6734458886607171,0.1718690771966236,0.31298828125,0.014892578125,0.6813355490862383,0.21334313534967464,0.68408203125,0.275390625,0.31298828125,0.014892578125,1,0,0,0,0,0,0,0,0,0,0,0,-2.040771484375,0.38720703125,-3.9990234375,-0.959716796875,0.93994140625,0.64892578125,-3.077392578125,-3.12353515625
